Podocopida,Cyprididae,Sclerocypris,tuberculata,Sclerocypris tuberculata,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3239,
Podocopida,Cyprididae,Sclerocypris,,Sclerocypris,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3240,
Podocopida,Cyprididae,Stenocypris,major,Stenocypris major,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Widespread,,,,,,,,,,,,,,,,3241,
Podocopida,Cyprididae,Stenocypris ,,Stenocypris ,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3242,
Podocopida,Cyprididae,Strandesia,mercatorum,Strandesia mercatorum,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Widespread,,,,,,,,,,,,,,,,3243,
Podocopida,Cyprididae,Strandesia,sudanica,Strandesia sudanica,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Widespread,,,,,,,,,,,,,,,,3244,
Podocopida,Cyprididae,Strandesia,vavrai,Strandesia vavrai,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Widespread,,,,,,,,,,,,,,,,3245,
Podocopida,Cyprididae,Strandesia,vinciguerrae,Strandesia vinciguerrae,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Widespread,,,,,,,,,,,,,,,,3246,
Podocopida,Cyprididae,Strandesia,,Strandesia,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3247,
Podocopida,Cyprididae,Tanycypris,clavigera,Tanycypris clavigera,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Widespread,,,,,,,,,,,,,,,,3248,
Podocopida,Cyprididae,Tanycypris,obtusa,Tanycypris obtusa,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Widespread,,,,,,,,,,,,,,,,3249,
Podocopida,Cyprididae,Tanycypris,,Tanycypris,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3250,
Podocopida,Cyprididae,Zonocypris,cordata,Zonocypris cordata,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3251,
Podocopida,Cyprididae,Zonocypris,costata,Zonocypris costata,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3252,
Podocopida,Cyprididae,Zonocypris,tuberosa,Zonocypris tuberosa,Species,,,,Others - specify,Globular in shape. Carapace set with ridges and tubercules with elevated pores from which long and stiff setae emerge (Griffiths et al. 2015). ,,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,Griffiths et al. 2015,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Not uncommon in vegetated vleis and lakes (Griffiths et al. 2015).,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Widespread,,,,,,,,,,,,,,,,3253,
Podocopida,Cyprididae,Zonocypris,,Zonocypris,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3254,
Podocopida,Darwinulidae,Alicenula,inversa,Alicenula inversa,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3255,
Podocopida,Darwinulidae,Alicenula,,Alicenula,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3256,
Podocopida,Darwinulidae,Darwinula,stevensoni,Darwinula stevensoni,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3257,
Podocopida,Darwinulidae,Darwinula,,Darwinula,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3258,
Podocopida,Darwinulidae,Penthesilenula,brasiliensis,Penthesilenula brasiliensis,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3259,
Podocopida,Darwinulidae,Penthesilenula,,Penthesilenula,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3260,
Podocopida,Darwinulidae,Vestalenula,flexuosa,Vestalenula flexuosa,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3261,
Podocopida,Darwinulidae,Vestalenula,molopoensis,Vestalenula molopoensis,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3262,
Podocopida,Darwinulidae,Vestalenula,,Vestalenula,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3263,
Podocopida,Darwinulidae,,,Darwinulidae,Family,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,All (egg to adult),,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3264,
Podocopida,Darwinulidae,,,Darwinulidae,Family,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,All (egg to adult),,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3265,
Podocopida,Limnocytheridae,Gomphocythere,capensis,Gomphocythere capensis,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3266,
Podocopida,Limnocytheridae,Gomphocythere,obtusata,Gomphocythere obtusata,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Widespread,,,,,,,,,,,,,,,,3267,
Podocopida,Limnocytheridae,Gomphocythere,,Gomphocythere,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3268,
Podocopida,Limnocytheridae,Korannocythere,devriesi,Korannocythere devriesi,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3269,
Podocopida,Limnocytheridae,Korannocythere,hamerae,Korannocythere hamerae,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3270,
Podocopida,Limnocytheridae,Korannocythere,ugiensis,Korannocythere ugiensis,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Widespread,,,,,,,,,,,,,,,,3271,
Podocopida,Limnocytheridae,Korannocythere,,Korannocythere,Genus,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water  (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,,,,,,,,,,,,,,,,,3272,
Podocopida,Limnocytheridae,Leucocythere,helenae,Leucocythere helenae,Species,,,,Others - specify,Bivalved crustacean (Griffiths et al. 2015),,,Swimmer,Use antennae and appendages to propel through the water (Hamrsky 2013).,Free living,,Tegument/cutaneous,Modified appendages which function as gills,,,Vegetation,"Littoral vegetation, lake benthos (Martens 2001)",Very slow flowing/still (< 0.1),Hamrsky 2013,,,Pools,Also found in streams and interstitial waters (Martens 2001). ,,,,,,,,,,,Long (longer than 15 days),"There are 8 larval instars, the 9th instar being the adult (Martens 2001). ",,,,,,,,,,,,,,,,,,,,,,,"Eggs, gemmule, statoblast, shell",,Vegetation (macrophyte),or directly onto substrate (Martens 2001),Hardshell,Carapace (Griffiths et al. 2015),,,,,Regional endemic,,,,,,,,,,,,,,,,3273,
